Title,Plateform,Release,Tags,Flat price,Discount,Developer,Publisher,Price
Icarus,"
Steam
", 3 December 2021,"GeForce Now,Online Co-op,Cooperation,Adventure,Action,Simulation,Survival,Open World Survival Craft,Crafting,Exploration,Base Building,Building,Open World,First-Person,PvE,Space,Mining,Realistic,Third Person,Sandbox,Nature,Science,Adventure,...","
25€
",-12%,"
RocketWerkz
","
RocketWerkz
",21.89€
Grow: Song of the Evertree,"
Steam
",16 November 2021,"Adventure,Simulation,Management,Action,Casual,Exploration,Farming Sim,Open World,Sandbox,City Builder,Life Sim,Colorful,Cute,Third Person,Agriculture,Atmospheric,Family Friendly,Fantasy,Nature,Relaxing,Action,Adventure,...","
25€
",-56%,"
Prideful Sloth
","
505 Games
",10.99€
Forza Horizon 5 Deluxe Edition (PC / Xbox ONE / Xbox Series X|S),"
Microsoft Store
", 9 November 2021,"Action,Arcade,Adventure,Online Co-op,Cooperation,Racing,Online PVP,Multiplayer,Cross-Platform Multiplayer,Simulation,Single-player,Sports,Open World,Driving,Automobile Sim,Exploration,Realistic,First-Person,Atmospheric,PvP,Beautiful,Third Person,Action,Adventure,Racing,Simulation,Sports,...","
89€
",-34%,"
Playground Games
","
Xbox Game Studios
",58.99€
Jurassic World Evolution 2 Deluxe Edition,"
Steam
", 9 November 2021,"Simulation,Management,Strategy,Action,Dinosaurs,Building,Sandbox,Sci-fi,City Builder,Economy,Resource Management,Open World,Violent,Atmospheric,Sequel,Survival,Simulation,Strategy,...","
70€
",-30%,"
Frontier Developments
","
Frontier Developments
",48.89€
Age of Empires IV: Digital Deluxe Edition,"
Steam
",28 October 2021,"Strategy,Wargame,Cooperation,Online Co-op,RTS,Medieval,Historical,Action RTS,Resource Management,PvP,PvE,Base Building,3D,Isometric,City Builder,Sexual Content,Open World,Mature,Strategy,...","
80€
",-36%,"
Relic Entertainment
World's Edge
","
Xbox Game Studios
",51.49€
Fortnite - Batarang Axe Pickaxe,"
Epic Games
", 7 July 2021,Action,,,"
Epic Games, Inc.
","
Epic Games, Inc.
",1.00€
Jurassic World Evolution 2: Early Cretaceous Pack,"
Steam
", 9 December 2021,"Action,Simulation,Strategy,Management,Casual,Dinosaurs,Building,Survival,Open World,Sandbox,Atmospheric,Historical,Sci-fi,City Builder,Violent,Economy,Sequel,Resource Management,Action,Simulation,Strategy,...","
8€
",-22%,"
Frontier Developments
","
Frontier Developments
",6.25€
F1 2021 Xbox ONE,"
Xbox One
",16 July 2021,"Racing,Sports,Simulation,Cooperation,Online Co-op,VR,Arcade,Immersive Sim,Driving,Automobile Sim,PvP,eSports,Controller,3D,Split Screen,Realistic,Local Multiplayer,Cinematic,Racing,Simulation,Sports,...","
 60€
",-50%,"
Codemasters
","
Electronic Arts
",30.11€
Potion Craft: Alchemist Simulator (Early Access),"
Steam
",21 September 2021,"Early Access,Simulation,RPG,Indies,Management,Crafting,Relaxing,Medieval,Life Sim,2D,Sandbox,Hand-drawn,Farming Sim,Casual,Choices Matter,Point & Click,Historical,Resource Management,Investigation,Indie,Simulation,Early Access,...","
13€
",-66%,"
niceplay games
","
tinyBuild
",4.29€
Jurassic World Evolution 2,"
Steam
", 9 November 2021,"GeForce Now,Deal of the week,Simulation,Management,Strategy,Action,Dinosaurs,Building,Sandbox,Sci-fi,City Builder,Economy,Resource Management,Open World,Violent,Atmospheric,Sequel,Survival,Simulation,Strategy,...","
60€
",-34%,"
Frontier Developments
","
Frontier Developments
",39.49€
The Last Stand: Aftermath,"
Steam
",16 November 2021,"GeForce Now,Adventure,Action,Indies,Zombies,Post-apocalyptic,Survival,Roguelite,Top-Down Shooter,Shooter,Action Roguelike,Perma Death,Atmospheric,Replay Value,Violent,Top-Down,Procedural Generation,Dark,Crafting,3D,Action RPG,Action,Adventure,...","
21€
",-40%,"
Con Artist Games
","
Armor Games Studios
",12.50€
God of War,"
Steam
",14 January 2022,"Action,Adventure,RPG,Story Rich,Mythology,Combat,Third Person,Violent,Atmospheric,Exploration,Emotional,Fantasy,Action RPG,Gore,Hack and Slash,3D,Souls-like,PvE,Crafting,Action,Adventure,RPG,...","
50€
",-32%,"
Santa Monica Studio
","
PlayStation PC LLC
",33.99€
Endzone - A World Apart: Prosperity,"
Steam
",21 October 2021,"Indies,Simulation,Strategy,Indie,Simulation,Strategy","
10€
",-31%,"
Gentlymad Studios
","
Assemble Entertainment
WhisperGames
Mayflower Entertainment
",6.89€
Total War: Warhammer III (Europe),"
Steam
",17 February 2022,"Action,Strategy,Turn-Based Strategy,Grand Strategy,RTS,Real Time Tactics,Dark Fantasy,Fantasy,Atmospheric,Colorful,Tactical,PvP,Story Rich,Warhammer 40K,Games Workshop,Action,Strategy,...","
60€
",-34%,"
CREATIVE ASSEMBLY
","
SEGA
Feral Interactive
",39.89€
House Flipper - Luxury DLC,"
Steam
",14 October 2021,"Indies,Simulation,Management,Casual,Building,Family Friendly,Realistic,Design & Illustration,First-Person,Relaxing,Base Building,Destruction,Economy,Education,Sandbox,3D,Replay Value,Memes,Indie,Simulation,...","
13€
",-44%,"
Empyrean
Frozen Way
","
Frozen District
PlayWay S.A.
",7.04€
FIFA 22: 4600 FUT Points Xbox ONE / Xbox Series X|S,"
Microsoft Store
", 1 October 2021,,"
40€
",-13%,"
EA Canada
","
Electronic Arts
",34.60€
Lemnis Gate,"
Steam
",28 September 2021,"GeForce Now,FPS,Strategy,Action,Indies,Arena Shooter,Time Manipulation,Real Time Tactics,PvP,Competitive,Shooter,Character Customization,3D,First-Person,Sci-fi,Realistic,Class-Based,Space,Time Travel,Tactical,Atmospheric,Action,Strategy,...","
17€
",-84%,"
Ratloop Games Canada
","
Frontier Foundry
",2.65€
